Territory,Value
Alberta Avenue,7
Aldergrove,3
Allendale,4
Ambleside,1
Argyll,1
Aspen Gardens,1
Athlone,1
Avonmore,2
Balwin,1
Bannerman,3
Baturyn,1
Beacon Heights,2
Bearspaw,2
Belgravia,6
Bellevue,3
Belmead,1
Belmont,10
Bergman,2
Beverly Heights,5
Bisset,1
Blackburne,1
Blue Quill,1
Bonnie Doon,9
Brander Gardens,1
Britannia Youngstown,2
Brookside,2
Bulyea Heights,2
Calder,2
Callingwood North,4
Cameron Heights,5
Canora,3
Canossa,1
Capilano,7
Cavanagh,1
Central McDougall,1
Chappelle,2
Crawford Plains,4
Crystallina Nera West,1
Cumberland,2
Cy Becker,2
Daly Grove,1
Dechene,1
Delton,2
Delwood,3
Donsdale,2
Dovercourt,4
Downtown,4
Duggan,2
Dunluce,1
Eastwood,2
Ebbers,1
Edgemont,1
Edmonton Northlands,6
Ekota,3
Ellerslie,1
Elmwood Park,1
Ermineskin,1
Evansdale,4
Forest Heights,6
Fraser,3
Fulton Place,8
Gariepy,2
Garneau,1
Glastonbury,2
Glengarry,1
Glenora,7
Glenridding Ravine,1
Glenwood,3
Gold Bar,5
Grandview Heights,2
Greenfield,5
Greenview,1
Griesbach,6
Grovenor,5
Hairsine,1
Hazeldean,7
Henderson Estates,2
High Park,2
Highlands,4
Hillview,3
Hollick-Kenyon,5
Holyrood,7
Hudson,1
Idylwylde,3
Inglewood,8
Jackson Heights,3
Jasper Park,2
Keheewin,3
Kenilworth,4
Kensington,1
Kernohan,3
Keswick,1
Kilkenny,5
Killarney,1
King Edward Park,10
Kiniski Gardens,5
Kinokamau Plains Area,1
Klarvatten,4
La Perle,1
Lago Lindo,2
Lansdowne,1
Larkspur,3
Lauderdale,1
Laurel,1
Laurier Heights,3
Lendrum Place,1
Lorelei,2
Lynnwood,1
MacEwan,3
Mactaggart,2
Magrath Heights,1
Malmo Plains,3
Maple,1
Matt Berry,2
Mayfield,2
McCauley,8
McConachie,3
McKernan,2
McLeod,1
McQueen,1
Meadowlark Park,1
Menisa,2
Meyokumin,2
Meyonohk,3
Miller,2
Montrose,2
Newton,3
North Glenora,4
Northmount,1
Ogilvie Ridge,1
Ormsby Place,1
Ottewell,8
Oxford,1
Ozerna,2
Parkallen,6
Parkdale,1
Parkview,7
Pollard Meadows,2
Prince Charles,1
Quarry Ridge,1
Queen Alexandra,5
Queen Mary Park,7
Ramsay Heights,2
Rhatigan Ridge,3
Richfield,2
Rideau Park,2
Rio Terrace,2
Ritchie,3
River Valley Laurier,1
Riverdale,2
Riverview Area,2
Rosenthal,1
Rossdale,1
Rosslyn,1
Royal Gardens,4
Rundle Heights,2
Rutherford,3
Sakaw,2
Schonsee,1
Sherbrooke,5
Sherwood,1
South Terwillegar,4
Spruce Avenue,3
Starling,2
Steinhauer,4
Strathcona,5
Strathearn,6
Suder Greens,1
Summerside,5
Sweet Grass,2
Terwillegar Towne,1
The Hamptons,2
The Orchards At Ellerslie,2
Tipaskan,1
Tweddle Place,1
Twin Brooks,2
Virginia Park,1
Walker,1
Webber Greens,4
Weinlos,2
Wellington,3
West Meadowlark Park,1
Westmount,7
Westridge,2
Westwood,1
Wild Rose,3
Windermere,3
Windsor Park,2
Woodcroft,1
York,4
