name,latitude,longitude
Alberta Avenue Community Garden,53.570888436124946, -113.48318084745176
Alex Decoteau Community Garden,53.543556476024676, -113.5016364650082
Alex Taylor Community Garden,53.54640643678711, -113.47660674428963
Allendale Community Garden,53.50121704753911, -113.50243576111194
Bannerman Espalier Orchard and Community Garden,53.454992046517084, -113.56344743259473
Brander Community Garden,53.491092137469316, -113.57411897318282
Central McDougall Community Garden,53.5527655,-113.5004157
Chappelle Gardens Heritage Point, 53.40582350230465, -113.57307507341055
Cloverdale Community Garden,53.535855407439485, -113.47179144784553
Donnan Park Community Garden,53.5157825895407, -113.468020060733
Dovercourt Community Gardens,53.5763397770429, -113.55807514633632
Duggan Community Garden, 53.4727827160979, -113.50469684440297
Eastwood Community Garden,53.570754823889985, -113.47232563533754
Elmwood Park Community Garden,53.58182883386591, -113.45602032165245
The Heights Community Garden,53.54747686200808, -113.4429981353429
Sunshine Garden Fulton Place,53.546860388233746, -113.4264972630662
Griesbach Veterans Community Garden,53.60537395874651, -113.50301398961675
Grow Forward Grovenor,53.54721017987214, -113.56720154667408
Heritage Community Garden, 53.461259576618225, -113.5072845524936
Highlands Community Garden,53.56795883666139, -113.43398599793703
Idylwylde Cheery Tomato Community Garden,53.523072356429125, -113.45177104522104
Blue Gecko (Inglewood) Community Garden,53.56625021659514, -113.53944183132788
Lakewood Community Garden,53.456254275001484, -113.44870593689777
Larch Park Community Garden, 53.44901898318492, -113.55121646850861
McCauley Community Garden,53.55302376553928, -113.48538559244463
Oliver Peace Garden Park,53.544531646516376, -113.52802529161546
Parkallen Diggers Community Garden,53.50268033409652, -113.51709147529805
The Queen Community Garden,53.55516802628906, -113.51379822478073
Richfield Community Garden,53.470858637103504, -113.46203460084003
Riverdale Community Garden,53.54193429308827, -113.47238385482646
Southpointe Community Garden, 53.42602907953395, -113.52337428525684
Strathcona Rail Lines,53.521706828648455, -113.50239613192011
Terwillegar Towne Community Garden, 53.44613300154454, -113.57627139464981
Thorncliff Community Garden,53.516139606752176, -113.62266371402127
Twin Brooks Community Garden, 53.4484703006452, -113.5382211489835
Urban Eden Project,53.53677709048854, -113.49610977114313
West Meadowlark,53.52671607216777, -113.60388221057167
Westmount Community Garden,53.55635111947685, -113.54180553114628
Yellowbird Community Garden, 53.44802885935734, -113.50482132726836
Callingwood Road Community Garden,53.496451465306, -113.63970302308418
Park West Community Garden,53.52205457473151, -113.65145013105285
Strathearn Community Garden,53.53229297877827, -113.46467233411306
Zion Baptist Church Garden,53.59265383195298, -113.52725651071896
Royal Gardens Community Garden,53.47856374368182, -113.53759120104701
The King's University Community Garden,53.52550468778564, -113.41670817794
Ridgewood Community Garden,53.469008037712996, -113.4520479971731
Trinity Community Garden,53.51598954959743, -113.49280600152792
Cameron Heights Community League,53.47431371165584, -113.63555658514942
Avonmore Community League Garden,53.510189337356856, -113.44873836740753
Heimtal Church Community Garden, 53.383951, -113.539782
Holy Spirit Community Garden,53.48802593871343, -113.52179858397962
Crestwood Presbyterian Church Community Garden,53.53415761415567, -113.56803689749279
Trinity United Church Community Garden,53.52221952121471, -113.59525116470638
Mount Carmel Bible College Community Garden,53.551180693024904, -113.41597396746711
The Growers Dozen (Parkdale Cromdale) Community Garden,53.56355062483551, -113.47139726822024
Waldorf-Ottewell Community Garden,53.53469719317478, -113.43907681689242
Rio Terrace Community Garden (Rio Gardens,53.509408462374424, -113.58162439944145
Dayspring Presbyterian Church Community Garden,53.47601664763461, -113.52972110880182
Millwoods Wagner Community Garden,53.49954608787994, -113.45428149691287
Hairsine Community Garden,53.60412285841128, -113.38964225977121
Twin Parks Community Garden,53.50250005850387, -113.36846015443692
Sakaw Gardens,53.44156332443955, -113.42928549326368
Willow Court Community Garden,53.5040056,-113.6353618
Blue Quill Community Garden, 53.458108035459375, -113.52637340057242 
Fraser Community Garden,53.61065570554053, -113.37290847353799
Métis Nation of Alberta Community Garden,53.567334583660084, -113.52181635640676
Greenfield Community Garden, 53.473537888668545, -113.52674828548201
West Ritchie Community Garden,53.51522232928709, -113.49324706949467
Fort Edmonton Park - Heritage Garden Interpretive Program,53.5021346,-113.5789255
Spruce Avenue Community Garden,53.566132567139384, -113.49840617071412
Prince Rupert Community Garden,53.5623283,-113.5209886
Woodcroft Community Garden,53.5664678,-113.5548196
